"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"1000000US361090010001007","Block 1007, Block Group 1, Census Tract 10, Tompkins County, New York","5"
"1000000US361090015002008","Block 2008, Block Group 2, Census Tract 15, Tompkins County, New York","59"
"1000000US361090019001049","Block 1049, Block Group 1, Census Tract 19, Tompkins County, New York","0"
"1000000US361090003001031","Block 1031, Block Group 1, Census Tract 3, Tompkins County, New York","0"
"1000000US361090016001082","Block 1082, Block Group 1, Census Tract 16, Tompkins County, New York","0"
"1000000US361090006004024","Block 4024, Block Group 4, Census Tract 6, Tompkins County, New York","74"
"1000000US361090017001011","Block 1011, Block Group 1, Census Tract 17, Tompkins County, New York","0"
"1000000US361090019001052","Block 1052, Block Group 1, Census Tract 19, Tompkins County, New York","0"
"1000000US361090021001062","Block 1062, Block Group 1, Census Tract 21, Tompkins County, New York","5"
"1000000US361090023003020","Block 3020, Block Group 3, Census Tract 23, Tompkins County, New York","45"
"1000000US361090003001051","Block 1051, Block Group 1, Census Tract 3, Tompkins County, New York","0"
"1000000US361090010002020","Block 2020, Block Group 2, Census Tract 10, Tompkins County, New York","0"
"1000000US361090011003026","Block 3026, Block Group 3, Census Tract 11, Tompkins County, New York","62"
"1000000US361090017001014","Block 1014, Block Group 1, Census Tract 17, Tompkins County, New York","0"
"1000000US361090017003038","Block 3038, Block Group 3, Census Tract 17, Tompkins County, New York","13"
"1000000US361090017003055","Block 3055, Block Group 3, Census Tract 17, Tompkins County, New York","6"
"1000000US361090018002052","Block 2052, Block Group 2, Census Tract 18, Tompkins County, New York","8"
"1000000US361090011003008","Block 3008, Block Group 3, Census Tract 11, Tompkins County, New York","14"
"1000000US361090016001008","Block 1008, Block Group 1, Census Tract 16, Tompkins County, New York","8"
"1000000US361090006004017","Block 4017, Block Group 4, Census Tract 6, Tompkins County, New York","12"
"1000000US361090020002051","Block 2051, Block Group 2, Census Tract 20, Tompkins County, New York","19"
"1000000US361090004001034","Block 1034, Block Group 1, Census Tract 4, Tompkins County, New York","0"
"1000000US361090010001009","Block 1009, Block Group 1, Census Tract 10, Tompkins County, New York","0"
"1000000US361090023002025","Block 2025, Block Group 2, Census Tract 23, Tompkins County, New York","3"
"1000000US361090010003058","Block 3058, Block Group 3, Census Tract 10, Tompkins County, New York","18"
